ID	label
1	' toilet door'
2	' toaster *dead sensor*'
3	' fridge'
4	' dead sensor'
5	' cupboard groceries'
6	' toilet flush'
7	' frontdoor'
8	' dead sensor'
9	' cupboard plates'
10	'Bedroom door'
11	'dead sensor'
12	'pressure mat bed  right'
13	'pressure mat bed left'
14	'mercury switch cutlary drawer'
15	'mercurary switch stove lid'
16	'PIR bedroom'
17	'dead sensor'
18	' mercury switch dresser door'
19	' PIR bathroom'
20	'pressure mat piano stool'
21	' gootsteen float'
22	'pressure mat chair study'
24	'balcony door'
25	' window'
26	' toaster'
27	' microwave'
28	' PIR kitchen'